iteration,objective,k_error,q00,q11,q22,q33
0,10.594411711037734,3.254905791422808,1.0,1.0,1.0,1.0
1,5.856644086026792,2.42005043047181,2.2939505245057603,2.2939505245057643,1.2597337092069552,1.2597337092069578
2,4.489526366342943,2.1188502463229777,2.90278526801535,2.9027852791175883,1.397993535905527,1.3979934692921523
3,3.6517761282284615,1.910962094921943,3.370728417577795,3.3707285286001047,1.502565810300836,1.502565801419061
4,3.0655696215425747,1.7508768150679745,3.759131206619971,3.7591313591646185,1.5864189742688075,1.5864187824222835
5,2.6265718460191967,1.620670184219848,4.093958040434332,4.0939582249534014,1.6556007572378042,1.65560037665337
6,2.283577883203332,1.5111511781431173,4.3893463602385765,4.389346594939734,1.7136270983032478,1.7136266664265134
7,2.0075985046650695,1.4168974926454878,4.6540778769467135,4.654078195136637,1.7627929012876655,1.7627924392128689
8,1.7806559343231227,1.3344122055508645,4.894077559962736,4.894077834853967,1.8047082531437126,1.8047076638373647
9,1.5908646304854703,1.2612948229836949,5.113579503250971,5.113579811670938,1.8405610940620485,1.8405605607109488
10,1.4299846377949634,1.1958196510322798,5.315740030347287,5.315740315674616,1.8712613551731188,1.8712608120520637
11,1.2920888913585198,1.136700880336828,5.502989808474739,5.502990085031308,1.8975259542243121,1.897525419318917
12,1.172786488203061,1.0829526712664135,5.677250050377774,5.677250258544605,1.9199327560826984,1.9199322414943931
13,1.0687453293019935,1.033801397417315,5.840071262002249,5.84007150547418,1.9389563974115849,1.9389558551787325
14,0.9773854466082272,0.9886280628265754,5.9927271600358445,5.992727324348874,1.9549924048224305,1.9549918936758262
15,0.8966748333115447,0.9469291596056933,6.136279429052145,6.136279576878357,1.968375099719129,1.968374605725476
16,0.8249895356836328,0.9082893457944075,6.271624464509012,6.271624612279711,1.9793898919085817,1.979389349786769
17,0.7610151572473325,0.8723618270232442,6.39952724509795,6.399527427951697,1.988282798541885,1.9882822740171135
18,0.7036758887998986,0.8388539138609884,6.520647047396735,6.520647247236893,1.995267785242037,1.9952672836433727
19,0.6520825517445261,0.807516285745697,6.635556693306389,6.6355568862631635,2.0005322071404463,2.0005317185313998
20,0.6054937145480189,0.7781347663149482,6.744757698378222,6.744757928694007,2.0042411952570784,2.0042407072031496
21,0.5632862790802908,0.7505240030007639,6.8486921902245355,6.848692406051912,2.0065411102377637,2.0065406538251933
22,0.5249328714746442,0.7245225127452176,6.9477521710538,6.9477523642881405,2.00756234860941,2.007561937882523
23,0.4899843193527496,0.6999887994480695,7.042287010787894,7.042287191365699,2.0074216154620497,2.007421230492349
24,0.45805571429231595,0.6767981340786305,7.132609900205688,7.1326100682379625,2.006223884242285,2.006223509209093
25,0.42881553307860987,0.6548400820647815,7.219002612689585,7.219002772173141,2.0040637257180056,2.0040634058351516
26,0.401976804200199,0.634016406885657,7.301719785495312,7.301719913864862,2.0010268498561103,2.0010265256433946
27,0.37728998456820684,0.6142393544606262,7.380992380150543,7.380992507076806,1.9971910155392623,1.9971906673457378
28,0.3545371424294915,0.595430216255013,7.457030745643514,7.457030918671788,1.9926269851078953,1.9926266146821658
29,0.3335272851426026,0.5775182119575127,7.5300268851931005,7.5300270302714996,1.9873994289699288,1.9873990501620218
30,0.3140923406552294,0.560439417470996,7.6001566877971145,7.60015682349413,1.9815674602564166,1.9815671214998123
31,0.2960839505364261,0.5441359669571808,7.667581704034026,7.667581846503407,1.9751853018713061,1.9751849684160223
32,0.27937073454591754,0.5285553278001439,7.732450702928709,7.732450824303852,1.9683026931661192,1.968302373699652
33,0.2638359852523945,0.5136496717144814,7.794901011963887,7.794901148660109,1.9609654979258526,1.9609651827892653
34,0.24937575705832093,0.49937536689180106,7.85505969683086,7.855059834859349,1.9532159276070582,1.9532156014237556
35,0.2358972088863633,0.48569250445766954,7.9130445635306925,7.913044717574147,1.9450929324139075,1.9450926226619156
36,0.2233172179205418,0.4725645119140262,7.968965062123514,7.968965240702898,1.9366325296327764,1.9366322176325943
37,0.21156119218375433,0.45995781565677774,8.022923029301179,8.022923227281698,1.9278680192791837,1.927867726430364
38,0.20056202453929134,0.44784151721260873,8.075013475854588,8.075013655655198,1.9188302521195229,1.9188299802539268
39,0.1902592424798168,0.43618716450603723,8.125324994916573,8.125325168236257,1.909547853325466,1.9095475697747901
40,0.18059820188907716,0.42496847164122326,8.173940583415906,8.173940752377973,1.90004735853182,1.9000470700267869
41,0.17152944994112085,0.4141611400664249,8.220937974644613,8.220938127105995,1.8903534164105718,1.8903531305978403
42,0.16300815228749854,0.40374268078504966,8.26639002446293,8.266390177368386,1.8804889217172571,1.8804886612453766
43,0.1549935742516646,0.3936922329074637,8.310365223917024,8.310365386078969,1.8704751902065961,1.870474920852941
44,0.14744864640834743,0.38399042489149054,8.352928012543934,8.352928170667433,1.860332000002168,1.8603317560309993
45,0.1403395917628455,0.3746192624023029,8.394138982402804,8.394139122512923,1.8500777879393675,1.850077542136342
46,0.13363556494043893,0.3655619850865772,8.434055305455251,8.434055438876271,1.839729740673071,1.8397294628262448
47,0.12730836504731277,0.35680297791261883,8.472730914864762,8.472731047064531,1.8293037697114993,1.8293034794856986
48,0.12133216455114545,0.34832766836865753,8.510216779207923,8.510216935860349,1.8188147622711153,1.8188144704771345
49,0.11568327339041037,0.34012243882227233,8.546561172307163,8.54656132483094,1.808276602467993,1.8082763078152029
50,0.11033994588836676,0.3321745714054084,8.581809673494465,8.581809796403029,1.7977021606319348,1.7977018573888097
51,0.10528217754472602,0.3244721521867879,8.61600550478607,8.616005620138186,1.78710345009078,1.7871031491236256
