t,q1,q2,dq1,dq2,ddq1,ddq2
1941.04,0.5000000230387365,-0.6000000143369733,-4.9824727677005853e-14,5.502542865798432e-14,0.0,0.0
1941.05,0.5000000230387365,-0.6000000143369733,-4.986289159347734e-14,5.493522303723353e-14,-3.8163916471524466e-15,-9.020562075087601e-15
1941.06,0.5000000230387365,-0.6000000143369733,-4.976227763187069e-14,5.4962978612849156e-14,1.0061396160674632e-14,2.7755575615654157e-15
1941.07,0.5000000230387365,-0.6000000143369733,-4.981084988919804e-14,5.4914406355521805e-14,-4.8572257327394775e-15,-4.8572257327394775e-15
1941.08,0.5000000230387365,-0.6000000143369733,-4.9855952699573436e-14,5.480338405305929e-14,-4.5102810375438005e-15,-1.1102230246261663e-14
1941.08,0.5000000230387365,-0.6000000143369733,-4.9855952699573436e-14,5.480338405305929e-14,-4.5102810375438005e-15,-1.1102230246261663e-14
1941.09,0.5000000230387365,-0.6000000143369733,-4.985942214652539e-14,5.491093690856985e-14,-3.4694469519567696e-16,1.0755285551065986e-14
1941.1,0.5000000230387365,-0.6000000143369733,-4.98212582300539e-14,5.4969917506753063e-14,3.8163916471524466e-15,5.898059818326508e-15
1941.11,0.5000000230387365,-0.6000000143369733,-4.984901380566953e-14,5.470970898535654e-14,-2.7755575615654157e-15,-2.6020852139675772e-14
1941.12,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.499420363541674e-14,6.938893903913539e-16,2.844946500604551e-14
1941.12,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.499420363541674e-14,6.938893903913539e-16,2.844946500604551e-14
1941.13,0.5000000230387365,-0.6000000143369733,-4.9921872191660555e-14,5.4969917506753063e-14,-7.979727989319132e-15,-2.4286128663145185e-15
1941.14,0.5000000230387365,-0.6000000143369733,-4.99184027447086e-14,5.47652201365878e-14,3.4694469519567696e-16,-2.046973701654494e-14
1941.15,0.5000000230387365,-0.6000000143369733,-4.9817788783101946e-14,5.484501741648273e-14,1.0061396160674632e-14,7.97972798950057e-15
1941.16,0.5000000230387365,-0.6000000143369733,-4.9807380442246085e-14,5.487971188600227e-14,1.0408340855870309e-15,3.4694469519567696e-15
1941.16,0.5000000230387365,-0.6000000143369733,-4.9807380442246085e-14,5.487971188600227e-14,1.0408340855870309e-15,3.4694469519567696e-15
1941.17,0.5000000230387365,-0.6000000143369733,-4.974493039711092e-14,5.454664497861472e-14,6.245004513522185e-15,-3.330669073878499e-14
1941.18,0.5000000230387365,-0.6000000143369733,-4.980044154834218e-14,5.4806853500011243e-14,-5.5511151231308314e-15,2.6020852139675772e-14
1941.18,0.5000000230387365,-0.6000000143369733,-4.980044154834218e-14,5.4806853500011243e-14,-5.5511151231308314e-15,2.6020852139675772e-14
1941.19,0.5000000230387365,-0.6000000143369733,-4.9748399844062874e-14,5.48103229469632e-14,5.2041704279351544e-15,3.4694469519567696e-16
1941.2,0.5000000230387365,-0.6000000143369733,-4.970329703368748e-14,5.4685422856692867e-14,4.5102810375438005e-15,-1.249000902704437e-14
1941.21,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.4789506265251475e-14,-1.3877787807827079e-14,1.0408340855870309e-14
1941.22,0.5000000230387365,-0.6000000143369733,-4.983860546481367e-14,5.4827670181722965e-14,3.4694469519567696e-16,3.8163916471524466e-15
1941.22,0.5000000230387365,-0.6000000143369733,-4.983860546481367e-14,5.4827670181722965e-14,3.4694469519567696e-16,3.8163916471524466e-15
1941.23,0.5000000230387365,-0.6000000143369733,-4.985248325262148e-14,5.4942161931137434e-14,-1.3877787807827079e-15,1.144917494145734e-14
1941.24,0.5000000230387365,-0.6000000143369733,-4.982819712395781e-14,5.478256737134757e-14,2.4286128663697387e-15,-1.595945597900114e-14
1941.25,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.4848486863434687e-14,-1.3877787807827079e-15,6.591949208717862e-15
1941.26,0.5000000230387365,-0.6000000143369733,-4.985248325262148e-14,5.4751342348779986e-14,-1.0408340855870309e-15,-9.714451465478955e-15
1941.27,0.5000000230387365,-0.6000000143369733,-4.980044154834218e-14,5.49074674616179e-14,5.2041704279351544e-15,1.5612511283805463e-14
1941.27,0.5000000230387365,-0.6000000143369733,-4.980044154834218e-14,5.49074674616179e-14,5.2041704279351544e-15,1.5612511283805463e-14
1941.28,0.5000000230387365,-0.6000000143369733,-4.9807380442246085e-14,5.497685640065697e-14,-6.938893903913539e-16,6.938893903913539e-15
1941.29,0.5000000230387365,-0.6000000143369733,-4.986983048738125e-14,5.493522303723353e-14,-6.245004513522185e-15,-4.1633363423481236e-15
1941.3,0.5000000230387365,-0.6000000143369733,-4.985248325262148e-14,5.4817261840867104e-14,1.7347234759783848e-15,-1.1796119636653017e-14
1941.31,0.5000000230387365,-0.6000000143369733,-4.9786563760534364e-14,5.507053146835972e-14,6.591949208717862e-15,2.5326962749284418e-14
1941.31,0.5000000230387365,-0.6000000143369733,-4.9786563760534364e-14,5.507053146835972e-14,6.591949208717862e-15,2.5326962749284418e-14
1941.32,0.5000000230387365,-0.6000000143369733,-4.9796972101390224e-14,5.493869248418548e-14,-1.0408340855870309e-15,-1.3183898417435725e-14
1941.33,0.5000000230387365,-0.6000000143369733,-4.989064716909297e-14,5.4855425757338594e-14,-9.367506770283278e-15,-8.326672684696247e-15
1941.33,0.5000000230387365,-0.6000000143369733,-4.989064716909297e-14,5.4855425757338594e-14,-9.367506770283278e-15,-8.326672684696247e-15
1941.34,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.4664606174981145e-14,4.8572257327394775e-15,-1.9081958235762233e-14
1941.35,0.5000000230387365,-0.6000000143369733,-4.980391099529413e-14,5.49074674616179e-14,3.8163916471524466e-15,2.4286128663697387e-14
1941.36,0.5000000230387365,-0.6000000143369733,-4.981084988919804e-14,5.475481179573194e-14,-6.938893903913539e-16,-1.5265566588609786e-14
1941.37,0.5000000230387365,-0.6000000143369733,-4.9835136017861714e-14,5.487971188600227e-14,-2.4286128663697387e-15,1.249000902704437e-14
1941.37,0.5000000230387365,-0.6000000143369733,-4.9835136017861714e-14,5.487971188600227e-14,-2.4286128663697387e-15,1.249000902704437e-14
1941.38,0.5000000230387365,-0.6000000143369733,-4.9796972101390224e-14,5.471664787926045e-14,3.816391647065672e-15,-1.6306400673826053e-14
1941.39,0.5000000230387365,-0.6000000143369733,-4.9807380442246085e-14,5.482073128781906e-14,-1.0408340855870309e-15,1.0408340855870309e-14
1941.4,0.5000000230387365,-0.6000000143369733,-4.98212582300539e-14,5.4740934007924125e-14,-1.3877787807827079e-15,-7.97972798950057e-15
1941.41,0.5000000230387365,-0.6000000143369733,-4.9845544358717575e-14,5.4924814696377666e-14,-2.4286128663697387e-15,1.838806884537088e-14
1941.41,0.5000000230387365,-0.6000000143369733,-4.9845544358717575e-14,5.4924814696377666e-14,-2.4286128663697387e-15,1.838806884537088e-14
1941.42,0.5000000230387365,-0.6000000143369733,-4.9904524956900786e-14,5.507053146835972e-14,-5.898059818326508e-15,1.4571677198218432e-14
1941.43,0.5000000230387365,-0.6000000143369733,-4.9866361040429297e-14,5.496644805980111e-14,3.8163916471524466e-15,-1.0408340855870309e-14
1941.44,0.5000000230387365,-0.6000000143369733,-4.9769216525774596e-14,5.4973386953705017e-14,9.714451465478955e-15,6.938893903913539e-16
1941.45,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.490052856771399e-14,-7.285838599109216e-15,-7.285838599109216e-15
1941.45,0.5000000230387365,-0.6000000143369733,-4.984207491176562e-14,5.490052856771399e-14,-7.285838599109216e-15,-7.285838599109216e-15
1941.46,0.5000000230387365,-0.6000000143369733,-4.9807380442246085e-14,5.491787580247376e-14,3.4694469519567696e-15,1.7347234759783848e-15
1941.47,0.5000000230387365,-0.6000000143369733,-4.970329703368748e-14,5.488318133295422e-14,1.0408340855870309e-14,-3.4694469519567696e-15
1941.47,0.5000000230387365,-0.6000000143369733,-4.970329703368748e-14,5.488318133295422e-14,1.0408340855870309e-14,-3.4694469519567696e-15
1941.48,0.5000000230387365,-0.6000000143369733,-4.988717772214102e-14,5.492828414332962e-14,-1.838806884537088e-14,4.5102810375438005e-15
1941.49,0.5000000230387365,-0.6000000143369733,-4.99184027447086e-14,5.491787580247376e-14,-3.1225022567610927e-15,-1.0408340855870309e-15
1941.5,0.5000000230387365,-0.6000000143369733,-4.984901380566953e-14,5.47201173262124e-14,6.938893903913539e-15,-1.9775847626153587e-14
1941.51,0.5000000230387365,-0.6000000143369733,-4.980391099529413e-14,5.496644805980111e-14,4.5102810375438005e-15,2.4633073358893064e-14
1941.51,0.5000000230387365,-0.6000000143369733,-4.980391099529413e-14,5.496644805980111e-14,4.5102810375438005e-15,2.4633073358893064e-14
1941.52,0.5000000230387365,-0.6000000143369733,-4.9796972101390224e-14,5.4969917506753063e-14,6.938893903913539e-16,3.4694469519567696e-16
1941.53,0.5000000230387365,-0.6000000143369733,-4.985248325262148e-14,5.4702770091452635e-14,-5.5511151231308314e-15,-2.6714741530067126e-14
1941.54,0.5000000230387365,-0.6000000143369733,-4.9835136017861714e-14,5.5011550870176507e-14,1.7347234759783848e-15,3.087807787241525e-14
1941.55,0.5000000230387365,-0.6000000143369733,-4.982819712395781e-14,5.497685640065697e-14,6.938893903913539e-16,-3.4694469519567696e-15
1941.55,0.5000000230387365,-0.6000000143369733,-4.982819712395781e-14,5.497685640065697e-14,6.938893903913539e-16,-3.4694469519567696e-15
1941.56,0.5000000230387365,-0.6000000143369733,-4.9741460950158967e-14,5.4799914606107336e-14,8.673617379891924e-15,-1.7694179454979525e-14
1941.57,0.5000000230387365,-0.6000000143369733,-4.9741460950158967e-14,5.470970898535654e-14,0.0,-9.020562075087601e-15
1941.58,0.5000000230387365,-0.6000000143369733,-4.988717772214102e-14,5.4876242439050316e-14,-1.4571677198218432e-14,1.6653345369392494e-14
